critic,review,date
Cole Smithey,"This out-of-tune, off-kilter, lame-o finale (oh how I hope it's the last one) to the Mike Meyers-led ""Shrek"" franchise is so far removed from the first two films that doesn't seem related.","June 5, 2007"
Mark Palermo,"The sequel hasn't been imagined as the next level with which to bring Shrek. It's just more of the same, served a little colder.","June 4, 2007"
Jim Lane,...odd that the animation should grow ever more textured and subtle while the humor grows ever less so...,"June 4, 2007"
Mike Sage,Justin Timberlake as the voice of the wiumpy Artie is certainly the best new addition to the Far Far Away Kingdom,"June 4, 2007"
James Kendrick,plays like warmed-up leftovers,"June 2, 2007"
Janos Gereben,"The bad news: this year's Shrek the Third is not more fun, cute, entertaining, and clever than the first two. Far from being a yawn, there is no call for jumping up and down either.","June 2, 2007"
Urban Cinefile Critics,It's brilliantly funny but makes sure none of the laughs come at the expense of the integrity of the characters,"June 2, 2007"
Lori Hoffman,... Shrek the Third is an example of take-the-money-and-run blandness.,"May 31, 2007"
Cynthia Fuchs,"The very Shrekness of Shrek (Mike Meyers) is the loser (the monster, the outcast, the grump) redeemed. This time, he must deny that good fortune to other losers, that is, losers who are not him.","May 30, 2007"
Wesley Lovell,Turning to Arthurian legend to fill the gaps of the fairy tale parodies you've run short of makes for a mess of a film.,"May 27, 2007"
Vince Koehler,Shrek is back for thirds and just as appetizing as the first two servings.,"May 26, 2007"
Matt Brunson,"May 25, 2007",
John Beifuss,Tackiest movie moment of the year: The dead serious use of Paul McCartney's 'Live and Let Die' during the funeral of the Frog King,"May 25, 2007"
Ethan Alter,"Whatever wit and charm were present in the original Shrek has long since vanished, replaced by sitcom-level punchlines, lazy plotting, and flat characterizations.","May 24, 2007"
Rich Cline,"The filmmakers abandon the inventive, freewheeling humour of the first two episodes for a more talky, rushed tale.","May 23, 2007"
Bill Gibron,Shrek the Third plays like missed opportunities purposefully planned out that way. It's a film so afraid of letting down the demographic that it never ventures beyond the safe.,"May 23, 2007"
Ken Hanke,It's hard to escape the feeling that the performers have reluctantly dressed up one more time just to indulge the audience rather than to really entertain them.,"May 23, 2007"
Robert Roten,"The writing is weak, and it's no wonder. Most of the writers have written stinking screenplays before.","May 22, 2007"
